#    Z       m        H              D           He3            He4          C12         C13P          N14P          O16            Mrem     C13           N14
  0.0200    1.42   -0.109E-01   -0.284E-04    0.454E-03    0.509E-02   -0.430E-03    0.000E+00    0.000E+00     -0.185E-02       0.58    0.422E-04    0.138E-03
  0.0200    1.55   -0.161E-01   -0.300E-04    0.388E-03    0.138E-01    0.225E-02    0.000E+00    0.000E+00     -0.178E-02       0.58    0.475E-04    0.279E-03
  0.0200    1.70   -0.250E-01   -0.313E-04    0.282E-03    0.181E-01    0.422E-02    0.000E+00    0.000E+00     -0.181E-02       0.59    0.498E-04    0.429E-03
  0.0200    1.86   -0.291E-01   -0.320E-04    0.253E-03    0.252E-01    0.623E-02    0.000E+00    0.000E+00     -0.178E-02       0.62    0.494E-04    0.503E-03
  0.0200    2.04   -0.406E-01   -0.332E-04    0.190E-03    0.304E-01    0.812E-02    0.000E+00    0.000E+00     -0.187E-02       0.63    0.505E-04    0.598E-03
  0.0200    2.23   -0.459E-01   -0.340E-04    0.155E-03    0.363E-01    0.949E-02    0.000E+00    0.000E+00     -0.196E-02       0.65    0.512E-04    0.714E-03
  0.0200    2.45   -0.556E-01   -0.347E-04    0.127E-03    0.411E-01    0.106E-01    0.000E+00    0.000E+00     -0.205E-02       0.68    0.514E-04    0.801E-03
  0.0200    2.68   -0.560E-01   -0.351E-04    0.103E-03    0.437E-01    0.112E-01    0.000E+00    0.000E+00     -0.207E-02       0.72    0.517E-04    0.860E-03
  0.0200    2.94   -0.605E-01   -0.354E-04    0.823E-04    0.450E-01    0.118E-01    0.000E+00    0.000E+00     -0.210E-02       0.77    0.522E-04    0.902E-03
  0.0200    3.22   -0.549E-01   -0.359E-04    0.684E-04    0.419E-01    0.999E-02    0.953E-07    0.297E-06     -0.224E-02       0.81    0.549E-04    0.953E-03
  0.0200    3.52   -0.454E-01   -0.364E-04    0.570E-04    0.382E-01    0.770E-02    0.196E-06    0.628E-06     -0.238E-02       0.85    0.581E-04    0.101E-02
  0.0200    3.86   -0.391E-01   -0.369E-04    0.476E-04    0.338E-01    0.492E-02    0.984E-07    0.557E-06     -0.260E-02       0.89    0.619E-04    0.107E-02
  0.0200    4.23   -0.410E-01   -0.374E-04    0.381E-04    0.353E-01    0.307E-02    0.466E-05    0.449E-06     -0.283E-02       0.93    0.661E-04    0.120E-02
  0.0200    4.63   -0.469E-01   -0.379E-04    0.214E-04    0.454E-01    0.178E-02    0.136E-03    0.147E-03     -0.304E-02       0.97    0.134E-03    0.148E-02
  0.0200    5.07   -0.575E-01   -0.383E-04   -0.246E-05    0.557E-01    0.641E-03    0.416E-03    0.475E-03     -0.291E-02       1.02    0.283E-03    0.194E-02
